key,row,count,pairs
#1,0,28,ambulance_firetruck:27|hotpot_vase:1
#10,1,4,ambulance_firetruck:4
#12,2,3,ambulance_firetruck:3
#14,3,2,ambulance_firetruck:2
#15,4,4,ambulance_firetruck:4
#16,5,2,ambulance_firetruck:2
#176,6,5,ambulance_firetruck:5
#2,7,26,ambulance_firetruck:12|hotpot_vase:14
#23,8,4,ambulance_firetruck:4
#24,9,4,ambulance_firetruck:4
#292,10,4,ambulance_firetruck:4
#312,11,5,ambulance_firetruck:5
#33,12,7,ambulance_firetruck:7
#38,13,13,acousticguitar_violin:12|ambulance_firetruck:1
#391,14,3,ambulance_firetruck:3
#43,15,4,ambulance_firetruck:4
#46,16,8,ambulance_firetruck:8
#48,17,32,acousticguitar_violin:32
#5,18,26,acousticguitar_violin:25|ambulance_firetruck:1
#52,19,23,ambulance_firetruck:23
#55,20,3,ambulance_firetruck:3
#6,21,6,ambulance_firetruck:6
#65,22,8,ambulance_firetruck:8
#704,23,6,ambulance_firetruck:6
#72,24,3,ambulance_firetruck:3
#76,25,24,cucumber_zucchini:24
#79,26,1,acousticguitar_violin:1
#8,27,2,ambulance_firetruck:2
$0.25,28,13,cucumber_zucchini:13
$1,29,15,cucumber_zucchini:15
$1.00,30,49,cucumber_zucchini:49
$1.79,31,21,cucumber_zucchini:21
$10,32,2,cucumber_zucchini:2
$10.00,33,30,cucumber_zucchini:30
$2.00,34,4,cucumber_zucchini:4
$2.50,35,39,cucumber_zucchini:39
$25,36,6,cucumber_zucchini:6
$299,37,1,acousticguitar_violin:1
$299.00,38,28,acousticguitar_violin:28
$3.50,39,8,cucumber_zucchini:8
$3.50/lb,40,23,cucumber_zucchini:23
$399,41,5,acousticguitar_violin:5
$6.19/lb,42,1,cucumber_zucchini:1
$9.95,43,21,acousticguitar_violin:21
&,44,791,acousticguitar_violin:107|ambulance_firetruck:610|ant_bee:14|cucumber_zucchini:3|hotpot_vase:57
-,45,1195,acousticguitar_violin:414|ambulance_firetruck:273|ant_bee:42|cucumber_zucchini:180|hotpot_vase:286
0.5,46,52,ant_bee:52
0.89,47,16,cucumber_zucchini:16
01,48,52,acousticguitar_violin:2|ambulance_firetruck:48|hotpot_vase:2
01-171,49,23,ambulance_firetruck:23
011,50,20,hotpot_vase:20
02144,51,21,ambulance_firetruck:21
03,52,75,ambulance_firetruck:75
037,53,25,ambulance_firetruck:25
04,54,30,ambulance_firetruck:27|hotpot_vase:3
06,55,31,ambulance_firetruck:24|hotpot_vase:7
080,56,28,ambulance_firetruck:28
09/04/2003,57,29,ambulance_firetruck:29
09/15/2007,58,21,acousticguitar_violin:21
0:39,59,3,hotpot_vase:3
0i,60,3,ambulance_firetruck:3
1,61,1053,acousticguitar_violin:51|ambulance_firetruck:986|cucumber_zucchini:10|hotpot_vase:6
1.00,62,18,cucumber_zucchini:18
1.5g,63,36,cucumber_zucchini:36
1/12th,64,23,ant_bee:23
10,65,362,acousticguitar_violin:24|ambulance_firetruck:297|cucumber_zucchini:9|hotpot_vase:32
10-55,66,24,ambulance_firetruck:24
10.25,67,1,hotpot_vase:1
100,68,84,ambulance_firetruck:82|hotpot_vase:2
101,69,181,ambulance_firetruck:181
101⁄4,70,20,hotpot_vase:20
102,71,45,ambulance_firetruck:45
1024,72,21,hotpot_vase:21
1035,73,28,ambulance_firetruck:28
104,74,36,ambulance_firetruck:36
1058,75,23,ambulance_firetruck:23
107,76,104,ambulance_firetruck:104
11,77,225,acousticguitar_violin:9|ambulance_firetruck:206|cucumber_zucchini:7|hotpot_vase:3
111,78,28,ambulance_firetruck:28
112,79,775,ambulance_firetruck:775
113,80,62,ambulance_firetruck:62
1162,81,20,ambulance_firetruck:20
118,82,998,ambulance_firetruck:998
119,83,57,ambulance_firetruck:57
12,84,320,acousticguitar_violin:93|ambulance_firetruck:107|ant_bee:1|cucumber_zucchini:95|hotpot_vase:24
12-15,85,18,ambulance_firetruck:18
12-16,86,12,ambulance_firetruck:12
12-string,87,115,acousticguitar_violin:115
121,88,23,ambulance_firetruck:23
123,89,32,ambulance_firetruck:26|hotpot_vase:6
1244,90,32,ambulance_firetruck:32
125mm,91,21,hotpot_vase:21
127,92,38,ambulance_firetruck:38
12x12x29cm,93,14,hotpot_vase:14
13,94,130,acousticguitar_violin:12|ambulance_firetruck:84|cucumber_zucchini:23|hotpot_vase:11
139,95,23,ambulance_firetruck:23
14,96,168,acousticguitar_violin:18|ambulance_firetruck:144|cucumber_zucchini:4|hotpot_vase:2
140,97,8,ambulance_firetruck:3|hotpot_vase:5
144,98,181,ambulance_firetruck:181
146,99,10,ambulance_firetruck:10
148,100,20,ambulance_firetruck:20
15,101,148,acousticguitar_violin:5|ambulance_firetruck:129|cucumber_zucchini:8|hotpot_vase:6
15-3,102,20,ambulance_firetruck:20
150,103,51,ambulance_firetruck:51
1530,104,22,ambulance_firetruck:22
155,105,62,ambulance_firetruck:62
15¢,106,3,cucumber_zucchini:3
16,107,139,acousticguitar_violin:8|ambulance_firetruck:99|ant_bee:28|cucumber_zucchini:4
169,108,3,ambulance_firetruck:3
17,109,88,ambulance_firetruck:47|ant_bee:5|cucumber_zucchini:35|hotpot_vase:1
1703,110,16,ambulance_firetruck:16
176,111,22,ambulance_firetruck:22
18,112,116,acousticguitar_violin:16|ambulance_firetruck:90|ant_bee:2|cucumber_zucchini:8
180cm,113,17,hotpot_vase:17
183,114,25,ambulance_firetruck:25
19,115,135,acousticguitar_violin:24|ambulance_firetruck:110|ant_bee:1
1900,116,32,ambulance_firetruck:3|hotpot_vase:29
19221,117,37,ambulance_firetruck:37
1924,118,22,ambulance_firetruck:22
1928,119,43,ambulance_firetruck:43
1929,120,28,ambulance_firetruck:28
1939,121,51,ambulance_firetruck:51
1948,122,22,ambulance_firetruck:21|ant_bee:1
1950s,123,56,acousticguitar_violin:1|ambulance_firetruck:55
1955,124,28,ambulance_firetruck:28
1960s,125,46,acousticguitar_violin:6|ambulance_firetruck:40
1967,126,19,ambulance_firetruck:19
1987,127,5,acousticguitar_violin:5
199,128,24,ambulance_firetruck:24
19x19x20,129,3,hotpot_vase:3
1g,130,14,cucumber_zucchini:14
1kg,131,12,cucumber_zucchini:12
2,132,741,ambulance_firetruck:672|cucumber_zucchini:38|hotpot_vase:31
20,133,171,acousticguitar_violin:22|ambulance_firetruck:81|ant_bee:5|cucumber_zucchini:1|hotpot_vase:62
200,134,34,ambulance_firetruck:32|hotpot_vase:2
2000,135,40,ambulance_firetruck:40
2001,136,17,ambulance_firetruck:17
2003,137,55,ambulance_firetruck:54|ant_bee:1
2004,138,65,acousticguitar_violin:28|ambulance_firetruck:25|ant_bee:4|cucumber_zucchini:4|hotpot_vase:4
2005,139,139,acousticguitar_violin:33|ambulance_firetruck:59|ant_bee:20|cucumber_zucchini:20|hotpot_vase:7
2005-7-9,140,5,cucumber_zucchini:5
2006,141,139,acousticguitar_violin:19|ambulance_firetruck:50|ant_bee:36|cucumber_zucchini:1|hotpot_vase:33
2006/07/21,142,22,acousticguitar_violin:22
2007,143,186,acousticguitar_violin:62|ambulance_firetruck:35|ant_bee:76|cucumber_zucchini:8|hotpot_vase:5
2007-12-16,144,12,acousticguitar_violin:12
2008,145,242,acousticguitar_violin:89|ambulance_firetruck:36|ant_bee:31|cucumber_zucchini:35|hotpot_vase:51
2009,146,210,acousticguitar_violin:58|ambulance_firetruck:5|hotpot_vase:147
2009.09.09,147,16,hotpot_vase:16
200mm,148,57,hotpot_vase:57
201,149,53,ambulance_firetruck:53
20cm,150,5,hotpot_vase:5
20th,151,25,acousticguitar_violin:3|ambulance_firetruck:21|hotpot_vase:1
20th-century,152,134,acousticguitar_violin:9|ambulance_firetruck:124|hotpot_vase:1
21,153,65,acousticguitar_violin:21|ambulance_firetruck:43|hotpot_vase:1
218,154,27,ambulance_firetruck:27
228,155,20,ambulance_firetruck:20
23,156,54,ambulance_firetruck:52|ant_bee:1|hotpot_vase:1
23/03/2007,157,19,hotpot_vase:19
231,158,8,ambulance_firetruck:8
24,159,178,acousticguitar_violin:13|ambulance_firetruck:137|cucumber_zucchini:9|hotpot_vase:19
24-,160,19,cucumber_zucchini:19
246,161,39,ambulance_firetruck:39
