stem,rep,n,caption,max_gap,first_k,smer_word,lime_word,zs,zl
n07716358_21657,4,7,zucchini plant with flowers and growing squash,0.015338123,4,with,flowers,0.6100865,0.42436475
n07718472_7510,3,8,sliced cucumber pale green seeds visible fresh texture,0.0141716,6,pale,visible,0.123331726,0.009716332
n07718472_6636,1,7,cucumber growing on trellis with yellow flowers,0.013483822,5,on,with,-0.47835964,-0.6100865
n07718472_4200,2,8,large green cucumber with speckled skin and stem,0.011862934,7,green,large,-1.1877705,-1.2421247
n07718472_7513,0,8,sliced cucumber on white background crisp and fresh,0.011105299,5,sliced,and,0.26297426,0.12833393
n07718472_9292,1,7,sliced cucumber with water droplets close-up view,0.010577917,6,with,close-up,-0.66717064,-0.709564
n07716358_3253,3,7,spiraled zucchini slices on a white plate,0.009534061,5,plate,a,0.441674,0.35553208
n07716358_18848,1,7,zucchini seeds jackpot hybrid bush prolific harvest,0.009447813,6,harvest,seeds,-1.1773894,-1.2515285
n07716358_16901,0,6,fresh green zucchinis and red tomatoes,0.0073521733,5,fresh,tomatoes,-1.9829996,-2.0898058
n07718472_1043,2,9,spicy cucumber and carrot salad with red chili dressing,0.0061507225,8,with,red,-0.48467165,-0.509295
n07718472_17881,0,8,fresh cucumber slice with seeds on green leaves,0.0058375597,6,on,with,-0.5885087,-0.6364048
n07716358_22997,1,7,large green zucchini grows among leafy vines,0.005143434,2,large,grows,1.1025529,0.9939484
n07716358_5804,1,6,fresh green zucchinis piled together abundantly,0.0046773553,2,abundantly,green,1.3574188,1.2768623
n07718472_10977,1,8,fresh cucumbers lie on soil near green leaves,0.0046511292,7,green,soil,-1.1905065,-1.2119427
n07718472_1114,3,8,fresh green cucumbers resting on soil under leaves,0.0046511292,7,green,soil,-1.1905065,-1.2119427
n07716358_7365,2,10,sautéed zucchini slices with herbs and garlic on red plate,0.0044561625,3,on,sautéed,0.51209533,0.37975055
n07718472_13958,3,7,grilled chicken with cucumber and carrot salad,0.0042556524,6,with,grilled,-0.66717064,-0.68421686
n07716358_3492,2,8,hand holds fresh green zucchinis with cut ends,0.00391227,7,cut,fresh,-1.5341583,-1.5711989
n07716358_3492,1,8,hand holding fresh fuzzy zucchinis with cut ends,0.00391227,7,cut,fresh,-1.5341583,-1.5711989
n07716358_23240,2,7,large zucchini resting in stainless steel sink,0.0036904514,4,resting,stainless,0.35796398,0.3125316
n07716358_9089,0,6,green zucchinis growing on lush vine,0.003255725,5,growing,vine,0.07403206,0.060057044
n07718472_14355,2,7,fresh cucumbers piled high in cardboard boxes,0.003180325,6,piled,high,-0.6174431,-0.6302728
n07718472_16248,1,7,boy in orange shirt holds large zucchini,0.0030548275,5,in,shirt,0.2334702,0.20833504
n07716358_6812,2,9,fresh zucchinis and yellow squash in a cardboard box,0.0028965771,5,in,a,0.57556003,0.51899385
n07716358_5238,4,7,breaded zucchini slices frying in hot oil,0.0028814077,5,oil,frying,-0.47207958,-0.50359595
n07716358_5208,4,8,four yellow squash with green stems on wood,0.0028421879,5,on,with,0.51884747,0.48467165
n07718472_16258,3,7,fresh salad bowl with sliced cucumber nearby,0.0028346777,5,nearby,bowl,0.018450677,-0.0043875277
